92.385,89.214,80.441,61.444;3
47.398,57.919,36.286,40.5;3
55.792,71.833,20.234,36.018;2
25.264,42.224,86.536,46.163;2
85.885,34.973,9.671,45.272;3
60.338,95.472,64.17,78.387;2
46.505,59.79,16.261,20.414;1
57.75,36.52,9.901,82.973;3
31.151,81.837,81.106,2.801;1
83.157,92.696,96.563,60.927;1
72.423,16.845,90.71,49.201;1
9.694,57.422,46.754,73.709;1
12.902,23.365,9.947,30.636;1
95.847,70.897,34.77,26.327;1
94.758,75.772,38.532,31.079;1
31.283,27.4,82.822,15.683;3
79.165,98.793,57.494,49.928;2
60.661,49.465,31.854,53.103;1
36.238,37.923,51.424,67.645;1
47.2,20.236,16.0,26.721;2
97.48,36.248,64.503,5.254;1
82.92,66.374,18.055,31.406;3
17.236,90.654,72.788,33.443;2
34.22,72.486,41.649,41.065;2
56.012,80.843,61.178,95.156;1
1.731,28.997,58.791,87.395;1
18.066,33.623,74.764,67.979;3
85.192,26.152,61.746,86.447;2
2.724,20.102,37.035,7.933;3
95.551,68.462,42.447,11.446;2
76.631,89.397,77.153,25.408;2
52.776,23.193,46.799,56.016;3
78.034,52.984,34.46,89.405;2
19.718,38.72,82.196,65.428;1
69.407,40.245,11.9,56.117;1
87.177,55.726,65.434,28.653;3
22.018,86.59,10.578,65.623;2
12.421,69.98,12.365,3.059;2
58.277,78.827,50.746,21.233;3
9.79,19.439,40.436,10.967;2
32.812,62.895,18.869,77.284;3
82.211,25.384,1.42,9.388;3
43.471,74.133,98.088,72.818;2
65.624,15.441,5.328,86.102;1
65.874,58.708,26.105,49.618;3
18.299,42.826,18.278,40.064;1
15.783,26.489,40.588,76.382;2
6.9,36.772,99.787,90.34;1
87.065,29.924,29.003,89.106;1
40.052,3.305,89.401,45.895;1
64.252,79.808,32.646,75.699;1
95.806,0.964,24.158,27.95;1
53.117,64.622,41.269,42.759;2
4.024,92.57,43.467,39.212;3
45.764,33.08,15.623,68.319;2
66.192,12.725,92.967,81.197;2
35.521,71.999,35.575,43.365;2
95.578,72.347,30.015,18.259;2
56.701,71.376,93.701,1.134;3
57.605,23.146,69.29,33.255;3
48.796,68.943,46.471,3.116;1
33.961,69.379,10.219,33.559;3
77.452,6.71,0.925,25.768;2
90.624,62.659,51.4,54.783;3
42.219,65.538,45.906,67.351;1
99.511,13.322,1.848,40.618;3
41.253,87.103,35.29,73.003;1
17.479,59.979,81.284,24.449;3
10.491,49.707,68.578,8.458;2
78.971,68.965,25.648,19.384;3
71.265,64.677,85.876,80.328;1
34.939,56.039,82.009,19.667;3
13.652,32.079,56.424,17.53;1
49.767,1.811,90.171,67.507;1
66.394,21.568,28.447,15.106;2
65.868,1.586,22.089,75.407;1
27.717,31.888,8.475,74.181;2
79.676,6.511,80.33,82.666;3
46.177,87.901,3.915,67.635;3
29.184,35.727,48.762,46.056;3
79.553,38.731,12.406,82.192;2
22.888,15.189,72.998,20.177;3
77.398,38.206,86.747,64.51;2
20.208,41.842,12.6,39.403;2
18.659,61.992,46.388,70.522;2
15.982,0.573,36.514,84.747;1
6.825,76.204,61.749,11.658;1
16.887,95.998,46.704,66.834;1
47.91,75.058,83.718,11.317;1
79.753,27.999,4.375,89.608;3
70.529,70.098,94.705,85.042;1
26.566,52.826,43.423,36.004;1
57.136,72.444,44.686,3.839;2
69.275,88.698,82.458,80.923;3
34.805,4.474,87.182,13.874;2
22.528,35.3,86.94,19.866;2
18.663,87.094,38.864,39.081;2
80.8,18.097,17.718,40.2;1
32.123,92.458,43.755,53.639;3
81.252,49.832,79.866,56.916;3
