0.54,-10.97,-8.04,10.33,5.77,4.65,-2.98,-4.96,3.72,-2.29;3
-8.94,9.71,7.06,-7.67,-7.99,-4.75,-3.97,1.52,-1.32,-4.13;1
-1.97,11.32,4.59,4.32,-10.81,-5.65,-8.71,6.88,2.16,1.18;0
-8.63,6.91,6.55,-7.57,-7.34,-6.26,-5.21,-0.08,0.15,-5.04;1
3.17,-7.32,-5.46,8.07,10.43,6.62,-1.96,-5.70,3.73,-2.33;3
-9.29,7.93,7.26,-8.31,-4.82,-5.62,-3.53,1.97,1.14,-2.65;1
-8.20,12.26,4.55,-4.91,-7.34,-7.06,-4.80,-0.80,-1.29,-5.42;1
-6.68,-0.81,-8.01,6.17,-4.63,6.16,-5.27,-0.62,1.71,-6.03;4
1.30,-8.04,-5.11,-0.89,1.25,4.85,-7.26,0.99,1.02,-8.12;2
-2.84,10.66,5.88,3.19,-4.92,-6.85,-7.82,6.86,2.51,3.97;0
-11.61,0.92,-10.29,5.44,-4.06,5.31,-3.97,1.83,3.35,-4.33;4
-1.32,7.65,6.74,-0.13,-6.00,-3.59,-10.32,6.47,2.17,3.41;0
-9.22,-0.42,-9.77,9.36,-2.86,5.34,-4.61,0.09,-1.59,-7.51;4
-3.75,8.17,5.76,2.89,-6.91,-6.70,-6.92,6.44,2.84,3.86;0
3.32,-7.42,-9.93,8.97,9.06,5.49,-2.86,-6.61,3.82,1.02;3
-9.68,10.83,5.17,-5.00,-7.16,-7.52,-4.08,-1.06,-2.19,-5.97;1
4.76,-7.90,-2.54,-2.73,-1.14,7.03,-5.03,-2.08,4.06,-7.00;2
3.02,-8.07,-4.19,0.54,1.71,6.36,-5.95,0.46,2.77,-10.61;2
-6.95,-0.13,-10.67,8.67,-6.59,5.03,-4.46,0.70,1.36,-6.69;4
2.39,-6.58,-8.04,10.76,10.74,3.94,-7.74,-6.65,1.63,-1.53;3
-8.53,8.55,7.60,-4.29,-5.43,-8.69,-5.01,0.12,-1.47,-3.24;1
2.00,-6.90,-10.02,7.74,8.97,6.72,-2.54,-9.25,5.92,-1.60;3
-5.58,-0.27,-12.50,7.27,-2.88,3.22,-5.26,-0.36,2.20,-5.48;4
2.51,-5.12,-2.78,-5.03,-2.36,7.11,-7.48,-0.05,2.67,-10.52;2
-7.47,0.32,-7.27,6.22,-9.35,3.53,-1.07,2.26,1.25,-7.04;4
-10.45,9.58,10.49,-5.90,-4.64,-7.39,-3.97,3.15,-2.30,-1.46;1
-8.45,8.01,7.95,-3.72,-5.74,-3.52,-5.08,-1.37,-4.03,-1.93;1
2.13,-7.27,-3.07,-2.59,0.22,5.58,-5.89,-2.71,3.22,-8.55;2
2.61,-4.04,-8.34,12.88,10.16,3.53,-2.78,-7.47,5.62,-0.19;3
2.73,-2.85,-8.71,10.24,9.44,6.02,-2.53,-8.48,4.09,-0.71;3
2.42,-7.85,-3.97,-1.86,-0.81,5.76,-7.06,-0.71,-0.26,-6.45;2
-2.36,10.47,3.59,1.48,-7.47,-9.08,-8.39,7.72,2.03,3.81;0
3.42,-6.57,-5.61,-2.74,-0.88,3.97,-3.75,1.60,1.52,-9.03;2
-9.56,11.91,7.14,-6.08,-5.12,-9.65,-3.56,1.65,-3.58,-2.46;1
-2.47,9.76,6.82,3.41,-3.65,-8.03,-7.53,7.60,5.31,2.95;0
3.23,-7.15,-6.11,8.38,9.65,7.57,-6.04,-10.69,1.40,0.70;3
-1.57,7.73,3.03,2.70,-7.21,-5.81,-8.13,7.21,0.75,1.89;0
1.89,-4.02,-10.76,6.56,11.52,5.85,-4.91,-6.49,2.78,1.54;3
1.95,-6.88,-2.85,-1.93,-0.65,6.25,-2.40,0.20,2.15,-7.50;2
1.79,-5.15,-4.38,-2.48,-1.14,5.73,-7.65,-1.88,4.24,-10.34;2
-1.40,9.27,4.47,1.52,-9.10,-7.96,-9.53,8.91,2.54,1.52;0
-3.90,8.92,-0.22,0.44,-7.26,-8.75,-6.39,5.18,1.36,4.36;0
3.85,-8.75,-3.96,-3.72,0.91,3.42,-6.84,0.85,4.20,-9.17;2
2.13,-5.72,-8.52,7.52,11.11,5.93,-3.95,-9.45,3.02,-2.52;3
-7.76,0.02,-9.65,7.21,-4.57,3.91,-5.40,2.52,0.79,-6.27;4
-3.84,7.79,4.52,2.48,-6.46,-5.64,-8.82,9.50,1.63,8.24;0
1.97,-8.41,-6.23,-3.77,-0.93,8.40,-6.78,0.62,1.82,-7.29;2
-10.77,10.11,9.47,-3.74,-3.97,-7.10,-5.40,0.31,-1.28,-2.53;1
-7.92,-0.65,-9.90,6.80,-2.40,2.77,-1.94,2.68,2.43,-6.95;4
-7.89,-0.62,-9.34,7.73,-3.62,0.83,-5.35,-1.20,2.36,-3.74;4
2.36,-9.24,-8.21,8.76,8.61,3.78,-3.14,-8.85,1.93,-5.51;3
-6.36,1.03,-7.53,9.25,-4.30,4.86,-3.81,-0.92,0.69,-7.42;4
-8.18,8.62,6.79,-6.45,-7.02,-6.80,-3.58,-0.22,0.52,-5.52;1
-9.87,8.74,8.82,-5.46,-4.82,-8.56,-3.51,1.83,-1.24,-2.58;1
-6.67,-4.51,-8.33,8.48,-4.85,2.67,-2.08,1.82,-0.23,-5.69;4
3.38,-6.79,-4.00,-2.77,-2.01,5.28,-8.55,0.14,0.37,-10.73;2
0.96,6.21,5.67,-0.45,-7.59,-5.25,-8.74,5.71,0.95,5.18;0
-10.00,5.95,4.38,-3.70,-3.90,-6.71,-3.05,0.96,3.26,-2.50;1
-5.39,8.97,4.73,5.67,-7.17,-6.43,-8.89,5.57,3.74,5.29;0
3.20,-5.22,-3.86,-1.61,-1.01,7.86,-7.02,2.99,1.79,-11.22;2
-4.84,9.12,3.05,2.68,-8.26,-4.56,-10.01,6.84,3.24,2.32;0
-6.79,-0.49,-8.20,9.11,-6.23,4.88,-4.57,1.61,1.49,-3.55;4
-2.04,11.23,5.93,1.73,-6.91,-8.38,-8.87,6.89,2.51,2.92;0
0.58,-5.78,-6.92,10.06,10.81,5.03,-6.04,-5.79,3.20,-1.57;3
3.95,-7.50,-8.90,9.00,8.14,7.14,-4.09,-7.42,2.35,-1.85;3
2.79,-7.80,-4.11,-0.76,-0.59,5.77,-8.05,1.40,2.82,-5.83;2
2.17,-6.49,-4.04,-4.60,0.62,4.96,-8.34,-0.36,4.10,-7.80;2
0.37,-8.25,-5.23,-1.33,-1.32,7.58,-7.02,0.70,0.60,-5.85;2
-8.57,-0.31,-10.50,7.72,-7.66,3.57,-3.76,-0.82,1.92,-4.90;4
-3.97,10.19,6.38,0.74,-5.43,-6.26,-7.61,10.17,1.65,3.03;0
3.47,-6.45,-2.56,-0.92,1.19,6.68,-6.26,0.50,3.66,-10.30;2
-9.08,8.78,7.60,-2.35,-6.09,-5.96,-4.60,-0.78,-0.12,-5.46;1
-6.35,-1.56,-8.60,8.94,-3.23,7.39,-3.18,-0.36,0.90,-8.96;4
-6.11,2.33,-11.16,7.30,-4.86,3.67,-4.98,1.04,0.22,-6.32;4
-6.69,0.39,-9.02,7.66,-4.32,2.81,-3.51,2.38,-0.58,-4.59;4
2.40,-9.21,-5.06,-2.19,-3.27,6.36,-6.04,1.11,2.18,-7.02;2
2.43,-8.23,-2.90,-3.65,-1.55,2.87,-6.68,-3.35,-0.53,-7.93;2
4.21,-6.91,-1.04,-3.71,1.73,6.00,-6.98,-0.44,1.37,-8.43;2
1.40,-9.26,-4.29,1.20,-2.08,8.16,-3.49,-0.55,2.70,-6.63;2
3.79,-5.68,-10.34,8.50,11.13,6.38,-0.43,-7.46,3.97,-1.66;3
0.46,-6.75,-3.21,-2.05,-1.16,5.51,-5.94,0.06,3.29,-5.76;2
-4.96,3.25,-8.36,8.94,-7.53,2.44,-4.95,-0.53,0.68,-7.01;4
-7.72,-0.35,-9.21,9.93,-6.22,3.61,-2.30,1.15,1.22,-4.80;4
2.12,-7.71,-12.34,10.30,10.42,5.75,-3.81,-7.27,1.34,-1.99;3
1.30,-6.62,-3.42,-2.28,-1.70,4.70,-6.04,2.04,2.66,-9.63;2
2.88,-7.86,-9.66,10.52,8.81,5.56,-5.34,-7.41,6.78,-2.80;3
3.98,-5.72,-9.04,7.54,8.75,7.80,-1.08,-5.73,2.95,-2.88;3
0.58,11.65,4.27,3.43,-5.91,-4.83,-10.29,8.35,3.61,1.52;0
-4.90,8.12,4.65,2.04,-7.55,-5.95,-10.44,7.11,2.20,4.93;0
2.96,-4.98,-9.25,7.72,7.75,3.22,-0.82,-9.70,3.35,-1.61;3
2.16,-6.20,-5.84,-2.10,-0.63,6.44,-5.57,3.97,0.89,-9.87;2
-1.65,10.72,6.07,2.95,-7.35,-5.74,-10.00,6.97,1.29,4.28;0
2.72,-6.58,-1.74,-1.99,-1.24,7.15,-4.22,-1.56,2.74,-8.02;2
-3.60,9.34,4.71,1.00,-3.66,-5.93,-11.88,7.60,1.03,5.44;0
-8.61,9.31,7.07,-7.44,-2.69,-6.14,-3.75,1.58,-0.64,-3.84;1
1.32,-2.75,-9.55,9.25,11.63,9.18,-0.82,-6.23,5.22,-0.31;3
3.34,-8.47,-8.26,6.94,10.01,6.11,-6.33,-6.30,2.58,-2.41;3
4.45,-4.76,-9.02,11.21,9.54,5.66,-4.83,-8.50,3.10,-0.94;3
-11.60,8.02,5.14,-6.90,-6.42,-5.98,-1.59,-1.00,0.12,-4.50;1
1.94,-8.43,-9.01,7.70,8.44,7.05,-1.40,-7.45,1.89,-0.53;3
