92.385,89.214,80.441,61.444;3
47.398,57.919,36.286,40.5;3
55.792,71.833,20.234,36.018;2
25.264,42.224,86.536,46.163;2
85.885,34.973,9.671,45.272;3
60.338,95.472,64.17,78.387;2
46.505,59.79,16.261,20.414;1
57.75,36.52,9.901,82.973;3
31.151,81.837,81.106,2.801;1
83.157,92.696,96.563,60.927;1
72.423,16.845,90.71,49.201;1
9.694,57.422,46.754,73.709;1
12.902,23.365,9.947,30.636;1
95.847,70.897,34.77,26.327;1
94.758,75.772,38.532,31.079;1
31.283,27.4,82.822,15.683;3
79.165,98.793,57.494,49.928;2
60.661,49.465,31.854,53.103;1
